Statement Analysis
Query,Full Table Scan,Executed (#),Errors (#),Warnings (#),Total Time,Max Time,Avg Time,Rows Sent (#),Avg. Rows Sent (#),Rows Scanned (#),Avg. Rows Scanned (#),Temp. Tables (#),Temp. Disk Tables (#),Rows Sorted (#),Sort Merge Passes (#),Digest
DROP TABLE `dawn` . `data`,,5,4,0,5600938674.98,1568712114.76,1120187735.00,0,0.0,0,0.0,0,0,0,0,867cc2099be319214c9b84399e643c9669f97c6a2b15b6149dd5f2872ef5b3c2
ALTER TABLE `adss_data_part4` DROP COLUMN `group`,,1,0,0,2155748283.19,2155748283.19,2155748283.19,0,0.0,0,0.0,0,0,0,0,207e27370e765e59ea409ac63889d36a4337fd0ed7c046846637ec8ae3739f43
"CREATE TABLE IF NOT EXISTS `adss_data_part4` ( `caseid` INTEGER , `facid` INTEGER , `cltype` INTEGER , `comin` INTEGER , `a6` INTEGER , `a6a1` INTEGER , `a6a2` INTEGER , `a6a3` INTEGER , `a7` INTEGER , `a9` INTEGER , `a10` INTEGER , `a11` INTEGER , `a14` INTEGER , `a15` INTEGER , `a16` INTEGER , `a17` INTEGER , `a18` INTEGER , `a19` INTEGER , `a20` INTEGER , `a21` INTEGER , `a22` INTEGER , `a23` INTEGER , `a24` INTEGER , `a25` INTEGER , `a26` INTEGER , `a27` INTEGER , `a28` INTEGER , `a29` INTEGER , `a30a` INTEGER , `a30b` INTEGER , `a30c` INTEGER , `a30d` INTEGER , `a30e` INTEGER , `a30f` INTEGER , `a30g` INTEGER , `a30h` INTEGER , `a30i` INTEGER , `a30j` INTEGER , `a31` INTEGER , `a32` INTEGER , `a33a` INTEGER , `a33b` INTEGER , `a33c` INTEGER , `a33d` INTEGER , `a33e` INTEGER , `a33f` INTEGER , `a34` INTEGER , `a35` INTEGER , `a36` INTEGER , `a37` INTEGER , `a38` INTEGER , `a39cn` INTEGER , `a39a` INTEGER , `a39b` INTEGER , `a39c` INTEGER , `a39d` INTEGER , `a39e` INTEGER , `a40eu` INTEGER , `a40lu` INTEGER , `a40age` INTEGER , `a41eu` INTEGER , `a41lu` INTEGER , `a41age` INTEGER , `a42eu` INTEGER , `a42lu` INTEGER , `a42age` INTEGER , `a43eu` INTEGER , `a43lu` INTEGER , `a43age` INTEGER , `a44eu` INTEGER , `a44lu` INTEGER , `a44age` INTEGER , `a45eu` INTEGER , `a45lu` INTEGER , `a46eu` INTEGER , `a46lu` INTEGER , `a46age` INTEGER , `a47eu` INTEGER , `a47lu` INTEGER , `a47age` INTEGER , `a48eu` INTEGER , `a48lu` INTEGER ,",,10,1,8,1921961258.48,1921706887.03,192196125.85,0,0.0,0,0.0,0,0,0,0,f8b6f3fb934e461075e7282678bac7e7136655c55f0ff5451b70a04f20f4c885
"SELECT * FROM `icpsr_03088` . `adss_data_part4` LIMIT ?, ...",*,1,1,0,1775839213.96,1775839213.96,1775839213.96,0,0.0,0,0.0,0,0,0,0,fcf47205e3a1a58a6eb05aeebba0eced9682b7c0a0b1393601ecfe6c7e4dafbf
"SELECT * FROM `dawn` . `data` LIMIT ?, ...",*,5,1,0,846079088.24,845906957.50,169215817.65,1309,262.0,1309,262.0,0,0,0,0,50622c1d3267adea18231b81b48c01cb0e97cacd5ea26ce8a891fd84d543a7ca
SHOW STATUS LIKE ?,*,123042,0,0,389224139.48,251358.11,3163.34,123042,1.0,123042,1.0,123042,0,0,0,93b5023feaf24c737fb4e33b5f2d4851cd166d96e5c4934d67d902bc68d94052
CREATE INDEX `idx_orders_orderkey` ON `orders` ( `o_orderkey` ),,2,2,0,341961053.97,294073654.31,170980526.98,0,0.0,0,0.0,0,0,0,0,2f570fad3c12e1050d77d3d19f31e07097fccc5ed444bfe367fde8d52ad8bf6a
DROP TABLE `cdcyrbss` . `national2021`,,3,3,0,329095068.52,198008052.76,109698356.17,0,0.0,0,0.0,0,0,0,0,f9104ccf640b6ee4cd4e03e2679cd4d358315305d066d88b618c8aae2d941584
SHOW GLOBAL STATUS,*,39212,0,0,194169295.01,22912.02,4951.78,38111512,972.0,38111512,972.0,39212,0,0,0,070e38632eb4444e50cdcbf0b17474ba801e203add89783a24584951442a2317
"EXPLAIN ANALYZE SELECT `c` . `c_mktsegment` , COUNT ( `o` . `o_orderkey` ) AS `num_orders` , SUM ( `li` . `l_quantity` ) AS `total_quantity` , SUM ( `li` . `l_extendedprice` ) AS `total_price` FROM `lineitem` `li` JOIN `orders` `o` ON `li` . `l_orderkey` = `o` . `o_orderkey` JOIN `customer` `c` ON `o` . `o_custkey` = `c` . `c_custkey` WHERE `li` . `l_commitdate` BETWEEN ? AND ? GROUP BY `c` . `c_mktsegment`",*,6,0,30394968,192169392.75,43169524.61,32028232.12,6,1.0,25519019,4253170.0,6,0,0,0,d8b7283d1f9e6459b2f5ab447d1c2cbce849bbbf06a19935bd7342c43886f4c1
SHOW GLOBAL STATUS LIKE ?,*,37179,0,0,122591758.74,21971.90,3297.34,37179,1.0,37179,1.0,37179,0,0,0,14752b67eb0925e19d522324c1b60b1b6c338794da0a912a92d5cab2f37821da
