sample_caseid,metro_area,age_category,gender,drug_code,total_cases
1,1,-8,-8,NULL,1173
20,1,1,1,34,641
18,1,3,1,4,334
8,1,3,-8,3,322
7,1,3,1,5,276
28,1,1,1,46.3,258
2,1,5,1,67.01,142
4,1,1,1,73.01,127
14,1,1,1,5.5,119
121,1,1,1,62,116
44,1,1,1,64.15,102
30,1,1,1,19,99
119,1,1,1,24,98
45,1,2,1,65.99,85
178,1,1,1,44,71
103,1,1,1,71.02,48
90,1,1,1,64.17,47
174,1,3,1,64.16,47
15,1,1,1,78.03,46
102,1,1,1,46.5,44
3,1,1,1,64.99,41
127,1,1,1,64.14,35
920,2,1,1,64.09,34
290,1,7,1,61,29
318,1,1,1,55,29
9,2,1,1,75.04,27
193,1,3,1,59,27
24,3,1,1,48,25
85,1,1,1,70.02,25
88,1,3,1,70.2,25
70,1,1,1,71.99,22
57,1,3,1,68.11,21
27,2,5,1,11,20
37,1,1,1,64.13,18
125,1,1,1,56,18
508,1,3,1,64.18,18
424,1,4,1,70.99,17
554,1,1,1,60,17
142,2,1,1,52,16
437,1,1,1,74.11,16
698,1,1,1,78.06,15
931,3,3,1,8,15
62,1,1,1,51,13
219,2,3,1,16,13
11,2,4,1,64.01,12
32,1,8,1,73.03,12
912,1,1,1,77.01,12
930,4,1,1,75.06,12
41,1,1,1,68.04,10
594,1,4,1,64.19,10
16,2,3,1,64.07,8
17,1,5,1,63.1,8
277,1,5,1,71.03,8
517,2,4,1,43,8
6,5,9,1,67.02,7
31,1,8,1,68.12,7
61,4,1,1,58,7
180,1,2,1,45,7
292,1,3,2,68.13,7
150,1,9,1,65.03,6
614,1,3,1,12,6
1225,1,5,1,53,6
367,1,8,1,65.01,5
448,2,2,1,54,5
1120,4,5,1,46,5
1379,2,3,2,75.02,5
1625,1,3,1,78.05,5
326,4,8,2,73.05,4
498,1,2,1,75.05,4
986,5,7,1,68.02,4
1418,1,9,1,69.01,4
217,6,4,1,10,3
461,2,1,1,64.04,3
682,1,6,1,65.04,3
697,2,3,1,64.06,3
814,3,2,1,65.16,3
1375,4,5,2,78.09,3
1384,4,6,1,74.17,3
1474,2,8,1,68.06,3
1506,1,10,1,70.23,3
2706,1,8,1,75.03,3
372,2,10,1,65.06,2
442,1,1,2,68.1,2
465,4,7,2,69.99,2
487,2,2,1,15,2
798,4,1,2,78.02,2
1089,2,8,1,68.08,2
1127,14,8,2,71.01,2
1931,1,2,1,74.05,2
2117,5,9,1,73.02,2
2370,1,11,1,49,2
2700,13,9,2,67.06,2
2852,2,10,1,74.19,2
2896,1,7,1,70.07,2
112,3,10,2,64.12,1
241,4,11,1,74.07,1
286,13,5,1,65.2,1
699,13,11,2,47,1
991,5,11,2,77.03,1
1179,4,11,2,63.2,1
1382,1,4,2,68.09,1
2110,2,8,2,74.01,1
2590,2,4,2,69.05,1
2612,1,11,2,64.1,1
2808,11,11,2,65.13,1
3272,14,11,2,73.06,1
3533,14,9,2,78.04,1
3535,4,10,2,75.01,1
3967,3,6,2,68.01,1
4088,14,10,2,74.18,1
4280,2,9,1,8.1,1
4331,4,4,2,78.07,1
4408,14,11,1,69.03,1
